,A1,A6,A10,E19V,E19S,E19P,E20S,E20P,E20T,STBY,S1S,S1M,S9M,S19,S20,E1,RES
2020-04-19 00:00:00,1.3831,8.6901,14.8983,31.692,199.1216,249.2556,518.9473,1031.8942,3861.481,148.5662,148.5662,148.5662,148.5662,148.5662,148.5662,0.6271,0.6271
2020-04-19 00:30:00,1.3578,8.4605,14.7286,31.5572,198.0136,249.0444,514.0182,1027.5989,3876.1148,148.4263,148.4263,148.4263,148.4263,148.4263,148.4263,0.5886,0.5886
2020-04-19 01:00:00,1.3546,8.231,14.5417,31.4954,196.9505,247.1024,509.9467,1023.8958,3867.1417,149.1968,149.1968,149.1968,149.1968,149.1968,149.1968,0.5515,0.5515
2020-04-19 01:30:00,1.3619,8.0338,14.4521,31.4078,195.8348,244.305,511.6649,1018.6611,3850.0333,146.0466,146.0466,146.0466,146.0466,146.0466,146.0466,0.5334,0.5334
2020-04-19 02:00:00,1.3426,7.8897,14.3545,31.2669,195.703,243.3033,513.5682,1020.5633,3854.2513,152.59,152.59,152.59,152.59,152.59,152.59,0.5177,0.5177
2020-04-19 02:30:00,1.3321,7.6509,14.2188,31.2612,194.3686,247.252,513.0734,1014.5074,3854.0247,154.6131,154.6131,154.6131,154.6131,154.6131,154.6131,0.5075,0.5075
2020-04-19 03:00:00,1.3338,7.9412,14.2618,31.3875,194.9635,242.2067,511.9026,1006.7162,3826.072,150.1825,150.1825,150.1825,150.1825,150.1825,150.1825,0.4945,0.4945
2020-04-19 03:30:00,1.3327,7.8941,14.1445,31.1836,194.7168,241.5023,511.2902,1013.3393,3812.3329,155.0323,155.0323,155.0323,155.0323,155.0323,155.0323,0.4907,0.4907
2020-04-19 04:00:00,1.3399,7.9933,14.1426,31.424,195.8797,242.5027,513.9875,1002.8726,3834.4725,152.5636,152.5636,152.5636,152.5636,152.5636,152.5636,0.4844,0.4844
2020-04-19 04:30:00,1.3539,7.9024,14.2046,31.6683,197.1665,240.4289,513.0552,1011.8673,3828.3039,154.1584,154.1584,154.1584,154.1584,154.1584,154.1584,0.4866,0.4866
2020-04-19 05:00:00,1.3701,8.0089,14.4823,32.2574,198.2958,241.7629,515.9567,1014.1286,3801.7899,153.618,153.618,153.618,153.618,153.618,153.618,0.5014,0.5014
2020-04-19 05:30:00,1.384,7.8386,14.6904,32.6496,199.1478,242.3985,517.1589,1015.846,3795.714,153.6308,153.6308,153.6308,153.6308,153.6308,153.6308,0.5049,0.5049
2020-04-19 06:00:00,1.3881,7.7743,14.9997,33.2494,201.4784,241.6631,525.1887,1017.4699,3780.0022,152.659,152.659,152.659,152.659,152.659,152.659,0.5377,0.5377
2020-04-19 06:30:00,1.3243,7.0731,14.7419,32.8822,199.9299,233.7379,523.4053,1009.0245,3718.8607,142.1284,142.1284,142.1284,142.1284,142.1284,142.1284,0.5502,0.5502
2020-04-19 07:00:00,1.3064,5.9216,14.5504,32.7167,196.5232,227.1545,520.1058,996.9268,3638.8829,144.9764,144.9764,144.9764,144.9764,144.9764,144.9764,0.573,0.573
2020-04-19 07:30:00,1.3081,4.937,14.5381,32.8288,194.3551,220.2989,519.0868,976.3669,3554.1152,138.1691,138.1691,138.1691,138.1691,138.1691,138.1691,0.5847,0.5847
2020-04-19 08:00:00,1.313,4.0332,14.7895,32.889,193.8879,216.9966,522.1008,964.239,3498.084,138.0455,138.0455,138.0455,138.0455,138.0455,138.0455,0.5766,0.5766
